p2train-0	他们觉得父母的行为方式和价值观念太不老了	他们觉得父母的行为方式和价值观念太老了
p2train-1653	看一看代沟问题的出现的背景	看一看代沟问题出现的背景
p2train-1654	他送我送到附近的车站了	他送我送到附近的车站
p2train-1655	这样既对自己也不好对别人也不好	这样既对自己不好对别人也不好
p2train-1656	98年我到中国留学去时	98年我到中国留学时
p2train-1657	我也是生活于这种环境中之一	我也是生活于这种环境中
p2train-1658	连他们亲近的朋友与家人都不会想接近他们的了	连他们亲近的朋友与家人都不会想接近他们了
p2train-1659	正在在上海复旦大学学习古代汉语	正在上海复旦大学学习古代汉语
p2train-1660	这能说明	这说明
p2train-1661	因为父母的教导	父母的教导
p2train-1662	对平时的生活特别忙的人来说	对平时生活特别忙的人来说
p2train-1663	我不喜欢他的态度了	我不喜欢他的态度
p2train-1664	但是我觉得这个办法不是那么很好	但是我觉得这个办法不是那么好
p2train-1665	实际上流行歌曲不会在你的怀念中存在着很久	实际上流行歌曲不会在你的怀念中存在很久
p2train-1666	其实只要家长与教育的方式正确的话	其实只要家长教育的方式正确的话
p2train-1667	我对妈妈说过：为什么我的爸爸常常不在家	我对妈妈说：为什么我的爸爸常常不在家
p2train-1668	应该叫犯罪人	应该叫犯罪
p2train-1669	我认为饥饿问题最大的原因就是粮食的分配不好	我认为饥饿问题最大的原因就是粮食分配不好
p2train-1670	在这每一次的比赛中	在每一次的比赛中
p2train-1671	后来他们俩开始了吵架	后来他们俩开始吵架
p2train-1672	每一个主题里描写河流的不同阶段	每一个主题描写河流的不同阶段
p2train-1673	老师是在上课的时候教育孩子就可以了	老师在上课的时候教育孩子就可以了
p2train-1674	随科学的进步	科学的进步
p2train-1675	另一个原因跟人类的对自己身体的看法有关系	另一个原因跟人类对自己身体的看法有关系
p2train-1676	在公共场所的吸烟对孩子们的道德观念有不好的影响	在公共场所吸烟对孩子们的道德观念有不好的影响
p2train-1677	我们俩争先恐后主动地去做	我们俩争先恐后地去做
p2train-1678	以后者为大前提的父母者最担心的是子女因为某种课业以外的问题而荒废了学业	以后者为大前提的父母最担心的是子女因为某种课业以外的问题而荒废了学业
p2train-1679	产生了“代沟”这一个问题	产生了“代沟”这个问题
p2train-1680	终日沉浸在虚幻的世界时	终日沉浸在虚幻的世界
p2train-1681	我希望在家里没有发生坏事	我希望家里没有发生坏事
p2train-1682	我这25年的思想毕竟是个空虚的	我这25年的思想毕竟是空虚的
p2train-1683	吸烟是对我们青少年的将来是很有影响的	吸烟对我们青少年的将来是很有影响的
p2train-1684	我特别紧张了	我特别紧张
p2train-1685	可是为了我们的生存环境地球	可是为了我们的生存环境
p2train-1686	记对我影响最大的一个人是我敬爱的妈妈	对我影响最大的一个人是我敬爱的妈妈
p2train-1687	我的心里一直有这自己的教训	我的心里一直有自己的教训
p2train-1688	她满脸通红了	她满脸通红
p2train-1689	这是一种人和人之间能容易沟通的一座桥梁	这是人和人之间能容易沟通的一座桥梁
p2train-1690	对我影响最大的一个人是我的最知心的朋友	对我影响最大的一个人是我最知心的朋友
p2train-1691	因为短期大学的汉语课是一周就有两节课	因为短期大学的汉语课一周就有两节课
p2train-1692	你们千万不要反对他们俩的结婚啊	你们千万不要反对他们俩结婚啊
p2train-1693	根据这句话来说看一下我觉得那些“痴迷”于流行的学生中学习成绩特别优秀的应了了无几	根据这句话来说我觉得那些“痴迷”于流行的学生中学习成绩特别优秀的应了了无几
p2train-1694	这样子他们会想一下对他们的未来	这样子他们会想一下他们的未来
p2train-1695	我个人来说不大赞成这种做法	我个人不大赞成这种做法
p2train-1696	从国度上来看也是一样的看法	从国度上来看也是一样的
p2train-1697	在日本的话	在日本
p2train-1698	还有两个人可以去抬水的	还有两个人可以去抬水
p2train-1699	所以吸烟者应该要戒烟	所以吸烟者应该戒烟
p2train-1700	“安乐死是一种杀人罪之一”	“安乐死是杀人罪之一”
p2train-1701	你一定会用头脑力去猜想	你一定会用头脑去猜想
p2train-1702	这个研讨会让我有对如何促进家庭成员关系有进一步的了解	这个研讨会让我对如何促进家庭成员关系有进一步的了解
p2train-1703	没有你们的照顾就没有现在的我了	没有你们的照顾就没有现在的我
p2train-1704	别选吸烟而找别的办法来恢复精神好	别选吸烟而找别的办法来恢复精神
p2train-1705	所谓“竞争时代”的现代社会	“竞争时代”的现代社会
p2train-1706	所以我打算准备写遗书	所以我打算写遗书
p2train-1707	人类也是一个自然的动物	人类也是自然的动物
p2train-1708	因久仰贵公司享负的盛名	因久仰贵公司的盛名
p2train-1709	但是不可否认流行歌曲的有一定的影响	但是不可否认流行歌曲有一定的影响
p2train-1710	能活还是只能死亡	能活还是死亡
p2train-1711	男女分班会阻碍两性之间的学术交流和沟通技巧	男女分班会阻碍两性之间的学术交流和沟通
p2train-1712	在生活现代社会的人的问题中一就是这样没有个性	在生活现代社会的人的问题中就是这样没有个性
p2train-1713	可以通过听流行歌曲	通过听流行歌曲
p2train-1714	我本来要去外国上大学时他也没有同意	我要去外国上大学时他也没有同意
p2train-1715	学习方面你们千万不要担心吧	学习方面你们千万不要担心
p2train-1716	但我更喜欢现在的歌曲了	但我更喜欢现在的歌曲
p2train-1717	对我不吸烟的人来说	对不吸烟的人来说
p2train-1718	“自由打工人”越来越来多	“自由打工人”越来越多
p2train-1719	我也不是提议回这封建时代	我也不是提议回封建时代
p2train-1720	我将该公司的业务成绩提高了百分之三十五个八仙率	我将该公司的业务成绩提高了百分之三十五
p2train-1721	在新加坡时也学过了日语	在新加坡时也学过日语
p2train-1722	我一直想他住在故乡里	我一直想他住在故乡
p2train-1723	各个国家不允许人们不能随便抽烟	各个国家不允许人们随便抽烟
p2train-1724	然后报纸上也出来了	然后报纸也出来了
p2train-1725	我是你们的女儿当中最老大的	我是你们的女儿当中最大的
p2train-1726	在商业中心人口是特别多	在商业中心人口特别多
p2train-1727	这是我的爱好和喜欢的运动类	这是我的爱好和喜欢的运动
p2train-1728	因为现代社会需要父母两个人的工作	因为现代社会需要父母两个人工作
p2train-1729	我这时才知道了他不是任性	我这时才知道他不是任性
p2train-1730	我去的地方是中国首都北京了	我去的地方是中国首都北京
p2train-1731	对一般来讲	一般来讲
p2train-1732	我相信我男女混合式教育是很好的	我相信男女混合式教育是很好的
p2train-1733	我是你们的独生子女	我是你们的独生女
p2train-1734	所以我希望在贵公司做工作	所以我希望在贵公司工作
p2train-1735	甚至有一天见不到一面	甚至一天见不到一面
p2train-1736	我母亲对我很生气	我母亲很生气
p2train-1737	以前给我们提供粮食的土地一直被污染了	以前给我们提供粮食的土地一直被污染
p2train-1738	现在四年级吧	现在四年级
p2train-1739	所以不挨饿是最重要的第一	所以不挨饿是最重要的
p2train-1740	成年人们在公共场所吸烟	成年人在公共场所吸烟
p2train-1741	再说到“依赖性”	再说“依赖性”
p2train-1742	现在在全世界饿死很多人们	现在在全世界饿死很多人
p2train-1743	只处理自己的事时时间都不够	只处理自己的事时间都不够
p2train-1744	我觉得科技会解决饥饿的这个问题	我觉得科技会解决饥饿这个问题
p2train-1745	都是会成千遍一律的	都是千遍一律的
p2train-1746	我每天练习了四种声调	我每天练习四种声调
p2train-1747	文化以及到现在人们的生活	文化以及现在人们的生活
p2train-1748	在此期间内	在此期间
p2train-1749	在心理上的休息	心理上的休息
p2train-1750	也有些人不喜欢流行歌曲的	也有些人不喜欢流行歌曲
p2train-1751	天天浪费喝水	天天浪费水
p2train-1752	今日的社会里又何尝不是这样的	今日的社会里又何尝不是这样
p2train-1753	去年的暑假时	去年暑假时
p2train-1754	子女们也应该多与父母多交谈	子女们也应该多与父母交谈
p2train-1755	有一天我有了一个问题	有一天我有一个问题
p2train-1756	以使渐渐解决代沟的问题	以渐渐解决代沟的问题
p2train-1757	有的父母在吸烟	有的父母吸烟
p2train-1758	我觉得我父母的思想比我太先进	我觉得我父母的思想比我先进
p2train-1759	父母必须要遵守交通规则	父母必须遵守交通规则
p2train-1760	可是人还是为了获得什么东西应该努力下去	可是人为了获得什么东西应该努力下去
p2train-1761	我希望在贵公司做工作	我希望在贵公司工作
p2train-1762	年轻人觉得人生是自己满足的	年轻人觉得人生是自己的
p2train-1763	所以有一年我帮助老师的准备	所以有一年我帮助老师准备
p2train-1764	吸烟对公众的人也有所影响	吸烟对公众也有所影响
p2train-1765	她要求丈夫或者家属人安乐死	她要求丈夫或者家属安乐死
p2train-1766	我心上有很多感情	我有很多感情
p2train-1767	无论是什么样的情况我都做起我想做的事	无论是什么样的情况我都做我想做的事
p2train-1768	发展健康关系就取决于对话与否和了解能力与否	发展健康关系就取决于对话与否和了解与否
p2train-1769	朋友如果遇到不开心时总会找我解闷	朋友如果不开心时总会找我解闷
p2train-1770	他们长大以前他们的生活环境需要互相帮助和协力	他们长大以前他们的生活环境需要互相帮助
p2train-1771	我想以前的东西的一部分好	我想以前的东西一部分好
p2train-1772	我高中的时候看过关于吸烟对健康的影响有关的报告	我高中的时候看过关于吸烟对健康的影响的报告
p2train-1773	那一定也能再渡过多几十年的时间海	那一定也能再渡过几十年的时间海
p2train-1774	可那样的想法是看小利益而不看大利益的	可那样的想法是看小利益而不看大利益
p2train-1775	花人力比较多的“绿色食品”当然不适合于他们	花人力比较多的“绿色食品”当然不适合他们
p2train-1776	要教育孩子成为一个成为一个有人格魅力的人比成为一个硕士	要教育孩子成为一个有人格魅力的人比成为一个硕士
p2train-1777	不想了半天也想不出来	想了半天也想不出来
p2train-1778	对中国的局势的发展也极为关心	对中国局势的发展也极为关心
p2train-1779	老师的发音也不好	老师的发音不好
p2train-1780	这是我想没什么别的好方法	我想没什么别的好方法
p2train-1781	在我的国家的规定	在我的国家规定
p2train-1782	还有容易得了病	还有容易得病
p2train-1783	我可能在海滨上整天看远远的海	我可能在海滨整天看远远的海
p2train-1784	为了明亮全世界的未来我们应该照顾饥饿人口	为了全世界的未来我们应该照顾饥饿人口
p2train-1785	我认为这篇文章讽刺人的依赖的心态	我认为这篇文章讽刺人的依赖心态
p2train-1786	我相信这对于我接待各国侨胞和贵宾上	我相信这对于我接待各国侨胞和贵宾
p2train-1787	一个完全没有声音的环境时	一个完全没有声音的环境
p2train-1788	他会发给我们的一笔钱	他会发给我们一笔钱
p2train-1789	常常使引起大众的注意	常常引起大众的注意
p2train-1790	我们互相鼓励互相	我们互相鼓励
p2train-1791	是使用很多化肥和农药	使用很多化肥和农药
p2train-1792	每个人都有个童年生活	每个人都有童年生活
p2train-1793	但是他这么说的话	但是他这么说
p2train-1794	地上不是他们的	地不是他们的
p2train-1795	那时我下一大决心将来要孝顺父母了	那时我下决心将来要孝顺父母了
p2train-1796	当遇到什么困难	遇到什么困难
p2train-1797	一家人都团结的时候要不是是吃饭时	一家人都团结的时候要不是吃饭时
p2train-1798	怪不得这种人往往成为生活的强者	这种人往往成为生活的强者
p2train-1799	现在值得一提淡的是农药本身毒害没有以前那么恐怖	现在值得一提的是农药本身毒害没有以前那么恐怖
p2train-1800	我还是学美术的	我还是学美术
p2train-1801	男女分开是还是不好的	男女分开是不好的
p2train-1802	所以记得我小时候她每天做什么事情都跟我一起做	记得我小时候她每天做什么事情都跟我一起做
p2train-1803	我打算利用假期要去南方旅游	我打算利用假期去南方旅游
p2train-1804	常常说唠叨	常常唠叨
p2train-1805	往后家庭的和谐建构就建基于此	往后家庭的和谐建构就基于此
p2train-1806	我现年年方二十一岁	我现年二十一岁
p2train-1807	我觉得你们应该注意身体健康	我觉得你们应该注意身体
p2train-1808	没有水喝就不能洗脸	没有水就不能洗脸
p2train-1809	以后不再像我这一代的童年那么多的辛酸痛苦	以后不再像我这一代童年那么多的辛酸痛苦
p2train-1810	所以我这一个的改变令他们感到开心	所以我这一个改变令他们感到开心
p2train-1811	听你心里上的话	听你心里的话
p2train-1812	不过真意料不到的是	不过意料不到的是
p2train-1813	应该让老人家跟我们同住在一起	应该让老人家跟我们住在一起
p2train-1814	可学说汉语是并不是容易的事	可学说汉语并不是容易的事
p2train-1815	我以前在报纸上看到吸烟者比不吸烟者的死亡率很高	我以前在报纸上看到吸烟者比不吸烟者的死亡率高
p2train-1816	那时候我的不知道该怎么做	那时候我不知道该怎么做
p2train-1817	讲究身材体的人应该买“绿色食品”	讲究身材的人应该买“绿色食品”
p2train-1818	吸烟这个坏习惯会使吸烟者连续而且增加吸烟的数量	吸烟这个坏习惯会使吸烟者连续增加吸烟的数量
p2train-1819	令公共财政承受更重大的压力	令公共财政承受更大的压力
p2train-1820	可我听这个消息特别高兴了	可我听这个消息特别高兴
p2train-1821	为了治病所需要的费用也不少	治病所需要的费用也不少
p2train-1822	可是我现在才能理解你们为什么在我的眼里显出那样的	我现在才能理解你们为什么在我的眼里显出那样的
p2train-1823	我认为这个两种不应该放在一起	我认为这两种不应该放在一起
p2train-1824	之因为我们的时间不多	因为我们的时间不多
p2train-1825	我刚到韩国时不好意思不会说韩国语	我刚到韩国时不会说韩国语
p2train-1826	当然他的公司的产品受到了老百姓的欢迎	当然他公司的产品受到了老百姓的欢迎
p2train-1827	正在于此上	正在于此
p2train-1828	一边看电视一边吸烟了	一边看电视一边吸烟
p2train-1829	她的父母为了专门她的教育	她的父母为了她的教育
p2train-1830	我当导游白一定会发挥能力的	我当导游一定会发挥能力的
p2train-1831	反正对我来说学习汉语的乐比苦得多	反正对我来说学习汉语的乐比苦多
p2train-1832	我希望中国的各个民族的团结	我希望中国的各个民族团结
p2train-1833	笔者则对此男女分班颇有些看法	笔者则对男女分班颇有些看法
p2train-1834	六月的有一天	六月的一天
p2train-1835	最近在我们日本出现了青少年引起犯罪的问题	最近在我们日本出现了青少年犯罪的问题
p2train-1836	可是现在环保问题更重要的	可是现在环保问题更重要
p2train-1837	它是没有受到化学污染	它没有受到化学污染
p2train-1838	通过这样的办法来我可以比较容易地	通过这样的办法我可以比较容易地
p2train-1839	从中学开始我就一直在担任我的班的财务主任	从中学开始我就一直在担任我班的财务主任
p2train-1840	不仅是现在而产生的	不仅是现在产生的
p2train-1841	因为北京也离我们那儿很远	因为北京离我们那儿很远
p2train-1842	来了一个小偷你们俩怎么办	来一个小偷你们俩怎么办
p2train-1843	也迷于歌星	也迷歌星
p2train-1844	总是找他来解决的	总是找他来解决
p2train-1845	这将使挨饿的问题也能解决好的	这将使挨饿的问题也能解决好
p2train-1846	或是简陋的小车站	简陋的小车站
p2train-1847	并且父母不应强迫孩子的话“代沟”问题可以解决	并且父母不强迫孩子的话“代沟”问题可以解决
p2train-1848	当然“绿色食品”是也不例外	当然“绿色食品”也不例外
p2train-1849	上一辈子常常对下一辈说今天的晚辈非常不听话	上一辈常常对下一辈说今天的晚辈非常不听话
p2train-1850	在这里变黑指的是当运动时吸烟者的肺会受不了了	在这里变黑指的是当运动时吸烟者的肺会受不了
p2train-1851	相互帮助地较难	相互帮助较难
p2train-1852	最近以来	最近
p2train-1853	旅游公司里工作专门是导游	旅游公司里工作是导游
p2train-1854	做为对社会有用的人	做对社会有用的人
p2train-1855	由于父母们在自己的工作都很忙	由于父母们自己的工作都很忙
p2train-1856	首先说我家人怎么对待这个代沟东西	首先说我家人怎么对待这个代沟
p2train-1857	但据说其它一些西方国家允许播送烟的广告	但据说其它一些西方国家允许播烟的广告
p2train-1858	其次我谈一下吸烟对周围人即公众造成的危害性	其次我谈一下吸烟对周围人即公众造成的危害
p2train-1859	发展中国家也在渐渐地证实了这个事实	发展中国家也渐渐地证实了这个事实
p2train-1860	而且有的人不吸烟	有的人不吸烟
p2train-1861	人们对流行歌曲的想法可以分成为三种想法	人们对流行歌曲的想法可以分成为三种
p2train-1862	用自然之声取代噪声是不是很好的方法	用自然之声取代噪声不是很好的方法
p2train-1863	因为第一个和尚弄挑水喝	因为第一个和尚挑水喝
p2train-1864	每逢到假期	每逢假期
p2train-1865	了解下	了解
p2train-1866	可是现代生活上不能离开它了	可是现代生活不能离开它了
p2train-1867	假如失去生命的缘故是从内在的	假如失去生命的缘故是内在的
p2train-1868	我曾在报纸上登过了我的体会手记	我曾在报纸上登过我的体会手记
p2train-1869	我的意思是救不了生命的话	我的意思是救不了命的话
p2train-1870	有时间都应该想一想挨饿的人的痛苦和绝望	有时间应该想一想挨饿的人的痛苦和绝望
p2train-1871	而是将整个世界一起重视饥饿问题	而是整个世界一起重视饥饿问题
p2train-1872	一踏出校门出	一踏出校门
p2train-1873	去年我在南京师大学学习汉语	去年我在南京师大学习汉语
p2train-1874	在别的场合上也能看到的	在别的场合也能看到的
p2train-1875	孩子也就会从每天生活中听到的音乐中培养欣赏音乐的才能	孩子也就会从每天生活听到的音乐中培养欣赏音乐的才能
p2train-1876	中文只能在晚间课余在家里自习	中文只能晚间课余在家里自习
p2train-1877	我来中国以后可以了解了很多事情	我来中国以后可以了解很多事情
p2train-1878	听了流行的歌曲	听流行的歌曲
p2train-1879	禁烟的公共场所一年比一年的多	禁烟的公共场所一年比一年多
p2train-1880	我在他的指导下从事了工作	我在他的指导下从事工作
p2train-1881	在中国一盒了“中南海”的价钱是五元人民币	在中国一盒“中南海”的价钱是五元人民币
p2train-1882	就是不会去主动去听流行歌曲	就是不会主动去听流行歌曲
p2train-1883	你们生了一女一男的	你们生了一女一男
p2train-1884	将会让孩子在心灵上蒙上了阴影	将会让孩子在心灵上蒙上阴影
p2train-1885	没有一个人能够夺走别另一个人的幸福	没有一个人能够夺走另一个人的幸福
p2train-1886	还有一件事呢	还有一件事
p2train-1887	真由美老师是我们的班主任了	真由美老师是我们的班主任
p2train-1888	他也许不感到兴趣	他也许不感兴趣
p2train-1889	原因是很简单	原因很简单
p2train-1890	他们是想做的事太多	他们想做的事太多
p2train-1891	以前在家乡时也常有收看香港电视剧	以前在家乡时也常收看香港电视剧
p2train-1892	说完了自他叹息转身就走了	说完了他叹息转身就走了
p2train-1893	我去年夏天在中国菜饭店打工	我去年夏天在中国饭店打工
p2train-1894	挨饿的人都是为了解决“生存问题”而找食品吃的	挨饿的人都是为了解决“生存问题”而找食品吃
p2train-1895	拿一份薪水等就已经足够了	拿一份薪水就已经足够了
p2train-1896	解决这个问题的最好的方法是该发明对人的健康影响少的化肥和农药	解决这个问题的最好的方法是发明对人的健康影响少的化肥和农药
p2train-1897	我跟他分别之后自己去了武汉了	我跟他分别之后自己去了武汉
p2train-1898	他们觉悟了死	他们觉悟了
p2train-1899	这种真情和影响比从别人受到的更深刻	这种影响比从别人受到的更深刻
p2train-1900	在日本也发生像同样的事情	在日本也发生同样的事情
p2train-1901	现在在公共场所吸烟人的人越来越少	现在在公共场所吸烟的人越来越少
p2train-1902	如果有病的人吃绿色食品那么能治疗治病	如果有病的人吃绿色食品那么能治病
p2train-1903	有的时候听什么音乐非常感动了	有的时候听什么音乐非常感动
p2train-1904	以后也我要常常给你们写信	以后我要常常给你们写信
p2train-1905	“绿色食品”比一般的商品有点儿贵	“绿色食品”比一般的商品贵
p2train-1906	吸烟的人的人的牙也是非常不干静	吸烟的人的牙也是非常不干静
p2train-1907	我越听他们讲的话越了解了爷爷	我越听他们讲的话越了解爷爷
p2train-1908	随着高科技发展日新月异	高科技发展日新月异
p2train-1909	但是据他们所回答的是你是没有兄弟姐妹	但是他们所回答的是你是没有兄弟姐妹
p2train-1910	会带来了健康的身体	会带来健康的身体
p2train-1911	父母的举动对一个不谙世事的孩子有多么的大的影响力	父母的举动对一个不谙世事的孩子有多么大的影响力
p2train-1912	无一不是在孩子心目中打下深深的烙印	无一不在孩子心目中打下深深的烙印
p2train-1913	社会意识的进步和改善对所有的人来说是个有好无坏的	社会意识的进步和改善对所有的人来说是有好无坏的
p2train-1914	斯大林辛辛苦苦所建立的红色苏维埃政权曾经红透了半边天	斯大林辛辛苦苦建立的红色苏维埃政权曾经红透了半边天
p2train-1915	我们应该拿我们的钱来帮助他们呢	我们应该拿我们的钱来帮助他们
p2train-1916	他吸烟了20年多了	他吸烟20年多了
p2train-1917	绿色食品是在市场上受到更大的欢迎	绿色食品在市场上受到更大的欢迎
p2train-1918	那交交男女朋友还是可以接受的	交交男女朋友还是可以接受的
p2train-1919	我们为了世界的保健吃“绿色食品”吧	我们为了世界吃“绿色食品”吧
p2train-1920	父母是正确“孩子的第一任老师”	父母是“孩子的第一任老师”
p2train-1921	并以努力学习来做为回报父母的恩情	并以努力学习来回报父母的恩情
p2train-1922	在公共场所边抽烟的人将被罚款	在公共场所抽烟的人将被罚款
p2train-1923	有许多家庭悲剧也是因为“代沟”问题没有妥善解决而不应产生	有许多家庭悲剧也是因为“代沟”问题没有妥善解决而产生
p2train-1924	朋友就算迟到整半个小时	朋友就算迟到半个小时
p2train-1925	以前当没有严格的规定时	以前没有严格的规定时
p2train-1926	那时我母亲总是在脸上带着一丝复杂的表情说	那时我母亲总是脸上带着一丝复杂的表情说
p2train-1927	因为是他们自觉而做的	因为是他们自觉做的
p2train-1928	朋友家在于浙江省的一个很小的县城里	朋友家在浙江省的一个很小的县城里
p2train-1929	一开始工作以后很少有很长的假期	开始工作以后很少有很长的假期
p2train-1930	这样你们才能够不费精力就能把功课学好	这样你们才能够不费精力就把功课学好
p2train-1931	可能是很多人们认为吃“绿色食品”比饥饿更重要	可能很多人们认为吃“绿色食品”比饥饿更重要
p2train-1932	眼看着他们那样关心我	看着他们那样关心我
p2train-1933	如果我再用功了一些	如果我再用功一些
p2train-1934	我家人都爱音乐的	我家人都爱音乐
p2train-1935	男女两个都有可能产生了矛盾	男女两个都有可能产生矛盾
p2train-1936	我们应该用现代科学的力量了尽快解决这个问题	我们应该用现代科学的力量尽快解决这个问题
p2train-1937	最好的是经过对话的互相了解	最好的是经过对话互相了解
p2train-1938	虽然你得不到奖了	虽然你得不到奖
p2train-1939	饥饿不是农作物总产量不足的	饥饿不是农作物总产量不足
p2train-1940	另外一个组没听音乐中做工作	另外一个组没听音乐做工作
p2train-1941	汉语是第二个语言	汉语是第二语言
p2train-1942	可是我已经28岁长大了	可是我已经28岁了
p2train-1943	他们俩的想法不一样是理所当然的	他们的想法不一样是理所当然的
p2train-1944	“代沟”问题最重要的点是互相努力了解对方	“代沟”问题最重要的是互相努力了解对方
p2train-1945	人们的心里比以前坏得多了	人们的心比以前坏得多了
p2train-1946	对我来说老挝是第二个故乡一样	对我来说老挝是第二个故乡
p2train-1947	我现在来中国学习汉语的理由就是由于这个家训因此的	我现在来中国学习汉语的理由就是由于这个家训
p2train-1948	只能父母亲切地教下去的	只能父母亲切地教下去
p2train-1949	于是他们又再渴了一天	于是他们又渴了一天
p2train-1950	我马上就要后悔	我马上就后悔
p2train-1951	代沟也是在各个方面上比以前差得大一些	代沟也是在各个方面比以前差得大一些
p2train-1952	我又回了北京来继续学习	我又回北京来继续学习
p2train-1953	尽管什么人在生活和工作中都要遇到各种困难或挫折	什么人在生活和工作中都要遇到各种困难或挫折
p2train-1954	根据试卷上的本文介绍	根据试卷上的介绍
p2train-1955	父母与子女之间我们常常要看到这样的情况	父母与子女之间我们常常看到这样的情况
p2train-1956	我觉得是因为人的生死并不是本人他一个人的问题	我觉得是因为人的生死并不是他一个人的问题
p2train-1957	但是我不同意以使用化肥和农药来提高产量	但是我不同意使用化肥和农药来提高产量
p2train-1958	不管哪个外语大学都有女生要比男生多得多的现象	不管哪个外语大学都有女生比男生多得多的现象
p2train-1959	对这样的研究需要政府的帮助	这样的研究需要政府的帮助
p2train-1960	现在在中国对说汉语的外国人有很多工作的机会	现在在中国说汉语的外国人有很多工作的机会
p2train-1961	不能以为因为父母有正义感	不能以为父母有正义感
p2train-1962	如果父母自我树立起良好的榜样	如果父母树立起良好的榜样
p2train-1963	年青人也要了解老辈的出发点是好心的	年青人也要了解老辈的出发点是好的
p2train-1964	最近我觉得解决代沟问题的办法是互相了解	我觉得解决代沟问题的办法是互相了解
p2train-1965	多年吸烟会导致肺癌症等得病	多年吸烟会导致肺癌症等病
p2train-1966	总瞒着顾客的眼视	总瞒着顾客
p2train-1967	我自己一般生活中也要考虑下去	我自己一般生活中也要考虑
p2train-1968	一直在他的成长中	在他的成长中
p2train-1969	这种行动是流行歌曲能带过来的一个坏处	这种行动是流行歌曲能带来的一个坏处
p2train-1970	刻苦地工作了	刻苦地工作
p2train-1971	而且父亲最痛恨是不讲实话的孩子	而且父亲最痛恨不讲实话的孩子
p2train-1972	不能解决饥饿问题的贫困国家大多数在于非洲和亚洲	不能解决饥饿问题的贫困国家大多数在非洲和亚洲
p2train-1973	而这重大的责任便交由大姐姐及大哥哥们负责	而这重大的责任便由大姐姐及大哥哥们负责
p2train-1974	才能富起来了	才富起来了
p2train-1975	现在我眼里上看到的上一代人的看法是有点保守	现在我眼里看到的上一代人的看法是有点保守
p2train-1976	母亲在音乐方面的才华源自于她父亲曾是合唱团的团员	母亲在音乐方面的才华源于她父亲曾是合唱团的团员
p2train-1977	但第三个和尚出现了以后	但第三个和尚出现以后
p2train-1978	政府已经多次的呼吁人民减少抽烟	政府已经多次呼吁人民减少抽烟
p2train-1979	对自己的工作有信心的	对自己的工作有信心
p2train-1980	我们应该知道的	我们应该知道
p2train-1981	其中学中国古代史	学中国古代史
p2train-1982	第一次写的	第一次写
p2train-1983	在这个世界上吸烟的人数是不计其数的	在这个世界上吸烟的人是不计其数的
p2train-1984	国家不允许在公共场所不吸烟是为了保护个人利益	国家不允许在公共场所吸烟是为了保护个人利益
p2train-1985	这已经是人人都知道的事情了但	这已经是人人都知道的事情了
p2train-1986	他说：你的意见虽然是好	他说：你的意见虽然好
p2train-1987	我说的那个漫画的内容是严寒的冬天的有一天	我说的那个漫画的内容是严寒的冬天的一天
p2train-1988	我们就这样做的	我们就这样做
p2train-1989	我今年寒假时可以去了中国	我今年寒假时去了中国
p2train-1990	经过一年的来来去去教育局	经过一年的来来去去
p2train-1991	可在我心里仍然还想去留学	可我心里仍然还想去留学
p2train-1992	作为对孩子的老师	作为孩子的老师
p2train-1993	如果妻子是怀有胎儿的话	如果妻子怀有胎儿的话
p2train-1994	在知识方面与一个乡村相比是无法可比的	在知识方面与乡村相比是无法可比的
p2train-1995	其他同学们去教学旅游的时候	其他同学去教学旅游的时候
p2train-1996	最近我发现了在你们的头发上下雪了	最近我发现在你们的头发上下雪了
p2train-1997	那天妈妈特别高兴了	那天妈妈特别高兴
p2train-1998	我们每天都能喝够水了的	我们每天都能喝够水了
p2train-1999	这些自己感到自己的行为对别的和尚过意不去的和尚也	这些自己感到自己的行为对别的和尚过意不去的和尚
p2train-2000	我跟妈妈说了半天	我跟妈妈说半天
p2train-2001	这也可能因为这种声音等刺激很少而发生的事例之一	这也可能因为这种声音刺激很少而发生的事例之一
p2train-2002	有可能其中之一个人	有可能其中一个人
p2train-2003	我的对这个问题的看法是这样	我对这个问题的看法是这样
p2train-2004	你是不是觉得奇怪吧	你是不是觉得奇怪
p2train-2005	我们做父母们	我们父母们
p2train-2006	在大众文化方面上更自由了	在大众文化方面更自由了
p2train-2007	从四点到六点帮助别的同学的学习汉语	从四点到六点帮助别的同学学习汉语
p2train-2008	我这年七月份从留学回来了	我这年七月份留学回来了
p2train-2009	更重要的是在让我活动	更重要的是让我活动
p2train-2010	这样的人喜欢的歌星达到痴迷的程度	这样的人喜欢歌星达到痴迷的程度
p2train-2011	我觉得对她真不好意思	我觉得真不好意思
p2train-2012	我希望我会找一个理想的工作了	我希望我会找一个理想的工作
p2train-2013	对于支持这种做法的家长	支持这种做法的家长
p2train-2014	我以为快要死定了	我以为快要死了
p2train-2015	他出生来的时候	他出生的时候
p2train-2016	我学习了成长	我学习成长
p2train-2017	然后后来他的唱歌水平会自动地提高	然后他的唱歌水平会自动地提高
p2train-2018	吸烟破坏人的周围的生活环境	吸烟破坏人周围的生活环境
p2train-2019	现在我们每天早上做的爬山继续吧	现在我们每天早上的爬山继续吧
p2train-2020	那几天使我吃不好	那几天我吃不好
p2train-2021	在那儿他师范系的高中毕业以后	在那儿他师范系高中毕业以后
p2train-2022	所以每天听了	所以每天听
